cust_id,name,city,height,income
453,Shila Valis,Normantown,5ft 5in,$50k-$100k
454,Latoya Magallan,Donaldo City,5ft 5in,over $150k
455,Jeanett Rechtzigel,Normantown,6ft 0in,under $50k
456,Manuela Honsinger,Donaldo City,5ft 10in,over $150k
457,Macy Sewester,Normantown,5ft 8in,over $150k
458,Marcel Decandia,Normantown,5ft 11in,$50k-$100k
459,Marchelle Exilus,Normantown,5ft 10in,$50k-$100k
460,Lyla Doniger,Normantown,5ft 11in,$100k-$150k
461,Ladonna Chochrek,Donaldo City,6ft 0in,$100k-$150k
462,Francisco Cossa,Normantown,5ft 11in,$50k-$100k
463,John Smith,Donaldo City,6ft 0in,under $50k
464,Cherise Bartron,Normantown,6ft 3in,$50k-$100k
465,Ezekiel Winney,Donaldo City,6ft 0in,under $50k
466,Nu Puga,Donaldo City,5ft 10in,over $150k
467,Catherine Nyce,Normantown,5ft 10in,$50k-$100k
468,Jamison Furrow,Donaldo City,5ft 11in,$100k-$150k
469,Windy Szatkowski,Normantown,5ft 11in,under $50k
470,Cristobal Ballweg,Donaldo City,5ft 9in,$50k-$100k
471,Elfrieda Mickiewicz,Normantown,5ft 7in,$100k-$150k
472,Lashaun Gavaldon,Donaldo City,6ft 0in,$100k-$150k
473,Alvin Longino,Donaldo City,5ft 10in,under $50k
474,Earl Rubinoff,Normantown,5ft 11in,$100k-$150k
475,Estella Furney,Normantown,5ft 11in,under $50k
476,Eve Tiffany,Donaldo City,6ft 0in,$100k-$150k
477,Darryl Resos,Normantown,6ft 5in,$50k-$100k
478,Almeda Sclavi,Normantown,5ft 6in,$50k-$100k
479,Hipolito Mcguckin,Donaldo City,6ft 0in,$50k-$100k
480,Pauletta Siebe,Normantown,5ft 10in,over $150k
481,Imogene Switzer,Normantown,5ft 11in,under $50k
482,Bobbie Vopava,Normantown,5ft 11in,$50k-$100k
483,Melva Streeter,Normantown,6ft 3in,$50k-$100k
484,Naoma Quenzer,Normantown,5ft 8in,under $50k
485,Concetta Sauce,Donaldo City,6ft 0in,under $50k
486,Tameka Zeitz,Normantown,6ft 3in,$100k-$150k
487,Ryan Virgen,Normantown,6ft 5in,$100k-$150k
488,Chas Macnevin,Normantown,5ft 9in,$100k-$150k
489,Cierra Pattee,Normantown,5ft 4in,$100k-$150k
490,Clint Blem,Donaldo City,5ft 10in,$100k-$150k
491,John Smith,Donaldo City,5ft 11in,$50k-$100k
492,Mariko Weisse,Normantown,6ft 1in,under $50k
493,Cary Billick,Normantown,5ft 6in,$50k-$100k
494,Sheila Ezer,Donaldo City,6ft 0in,under $50k
495,Taunya Leith,Donaldo City,6ft 0in,$100k-$150k
496,Ione Stukes,Donaldo City,6ft 0in,$50k-$100k
497,Charolette Cozad,Normantown,6ft 2in,under $50k
498,Milan Bouwman,Normantown,6ft 4in,$100k-$150k
499,Temeka Fugitt,Donaldo City,6ft 0in,$50k-$100k
500,Laurence Beresford,Normantown,6ft 4in,$50k-$100k
